iter	Passed	Remaining
0	2136	2134424
1	4239	2115411
2	6354	2111780
3	8423	2097567
4	10426	2074922
5	12128	200933766	14114	200219677	15830	196293988	17597	1937724
9	17736	1755916110	19652	1766964
11	21531	1772754
12	23420	1778145
13	23437	1650665
14	23806	1563306
15	25731	1582456
16	27546	1592827
17	28925	1578066
18	30575	1578646
19	32291	1582271
20	33984	1584311
21	35685	1586388
22	37316	1585121
23	38958	1584312
24	40720	1588086
25	42430	1589503
26	44139	1590665
27	45865	1592171
28	47149	1578701
29	48861	1579860
30	50661	1583584
31	52463	1587016
32	53008	1553306
33	54848	1558346
34	56704	1563418
35	58065	1554861
36	59860	1557989
37	61775	1563900
38	63737	1570545
39	64100	1538420
40	64557	1510016
41	66498	1516801
42	68210	1518077
43	69267	1505000
44	70216	1490151
45	70235	1456633
46	72013	1460193
47	73785	1463418
48	75498	1465285
49	77256	1467882
50	78961	1469298
51	80590	1469232
52	82243	1469520
53	83952	1470719
54	85717	1472785
55	87366	1472746
56	89098	1474035
57	90766	1474170
58	92501	1475323
59	94143	1474920
60	95817	1474966
61	97543	1475731
62	99249	1476146
63	99622	1456980
64	101298	1457138
65	102929	1456610
66	104608	1456710
67	106238	1456093
68	106406	1435711669	108092	1436083770	109721	1435657771	111379	1435563
72	113005	1435012
73	114634	1434485
74	116337	1434832
75	116352	1414604
76	116363	1394848777	118010	1394941778	119673	1395176779	121381	1395882880	123081	1396448881	124702	1396063
82	126384	1396318
83	128015	1395975
84	129673	1395892
85	131377	1396269
86	133100	1396792
87	133118	1379592
88	134808	1379897
89	134818	1363160
90	135003	1348555991	136726	1349433992	138449	135025293	140002	1349388
94	141767	1350521
995	141957	133676796	143570	1336535
97	145364	1337946
98	147146	1339179
99	148915	1340237
100	150687	1341264
101	152408	1341794
102	154202	1342906
103	155966	1343712
104	157705	1344250
105	159523	1345412
106	161305	1346220
107	161319	1332375
108	163072	1333007
109	164882	1334053
110	166636	1334596
111	168452	1335587
112	170289	1336693
113	172102	1337571
114	173900	1338276
115	173991	1325934
116	175734	1326272
117	177509	1326811
118	179337	1327698
119	181132	1328304
120	182828	1328152
121	184501	1327808
122	186200	1327627
123	187839	1326993
124	189552	1326868
125	191290	1326886
126	191386	1315594

127	188400	1283475
128	190085	1283442
428	1240943
130	187133	1241364
131	188887	1242077
132	190656	1242851
133	182871	1181843
134	184521	1182306
135	186250	1183237
136	187892	1183582
137	189548	1183992
138	191259	1184711
139	191285	1175040
93	1150165
141	190418	1150556
